phase,label,gw,mw,cw,conns,applied_per_s,mean_us,p50_us,p90_us,p99_us,peak_rss_kb,threads
A,A_ws_gw,2,1,1,32,193.7,44.0,33.5,90.7,173.4,37020,5
A,A_ws_gw,2,1,1,32,215.3,46.2,32.3,90.7,187.8,37024,5
A,A_ws_gw,2,1,1,32,194.5,46.3,33.3,94.7,200.2,37044,5
A,A_ws_gw,4,1,1,32,193.7,47.5,34.4,97.8,205.9,38440,7
A,A_ws_gw,4,1,1,32,206.3,45.1,32.6,93.3,189.1,38404,7
A,A_ws_gw,4,1,1,32,178.0,45.7,33.8,95.0,190.0,38512,7
A,A_ws_gw,8,1,1,32,228.8,46.0,34.2,94.5,192.7,41532,11
A,A_ws_gw,8,1,1,32,176.4,48.3,35.5,97.9,193.7,41528,11
A,A_ws_gw,8,1,1,32,206.6,47.6,33.6,96.5,210.0,41596,11
A,A_ws_gw,2,1,1,160,2049.0,171.3,124.1,381.6,724.2,148756,5
A,A_ws_gw,2,1,1,160,3849.3,208.3,150.4,459.3,954.9,152552,5
A,A_ws_gw,2,1,1,160,1670.8,174.4,126.6,390.6,738.1,140368,5
A,A_ws_gw,4,1,1,160,2864.3,162.2,113.7,362.8,743.3,150592,7
A,A_ws_gw,4,1,1,160,2207.6,168.6,116.9,381.5,779.6,151456,7
A,A_ws_gw,4,1,1,160,2351.1,179.6,130.4,402.4,767.3,152836,7
A,A_ws_gw,8,1,1,160,3699.3,198.2,144.1,445.4,857.3,158188,11
A,A_ws_gw,8,1,1,160,5173.5,190.4,137.3,418.6,871.3,159176,11
A,A_ws_gw,8,1,1,160,6907.3,174.7,122.6,384.9,839.9,162728,11
A,A_ws_gw,2,1,1,400,12963.1,937.6,702.4,1982.2,4169.7,351164,5
A,A_ws_gw,2,1,1,400,10146.3,918.4,647.1,2028.1,4779.2,342940,10
A,A_ws_gw,2,1,1,400,13732.0,1005.8,919.6,1959.9,3692.2,343096,6
A,A_ws_gw,4,1,1,400,13625.5,929.4,717.9,1944.2,4734.6,356864,32
A,A_ws_gw,4,1,1,400,13061.4,846.2,468.9,1924.9,4472.1,346804,25
A,A_ws_gw,4,1,1,400,11071.8,1052.8,1036.5,1921.7,3300.0,343524,7
