variant,conns,games,seats,trial,applied_per_s,mean_us,p50_us,p90_us,p99_us,max_us
db_on,32,8,4,1,199.5,46.9,36.6,97.2,179.8,43142.5
no_db,32,8,4,1,119.5,45.8,36.2,95.7,177.8,3407.3
db_on,32,8,4,2,129.8,43.0,33.0,88.9,168.6,5587.2
no_db,32,8,4,2,134.6,42.9,33.3,88.9,167.1,10594.6
db_on,160,40,4,1,2164.5,146.2,102.6,327.0,650.4,24390.6
no_db,160,40,4,1,3385.8,141.5,101.0,307.7,648.5,18716.1
db_on,160,40,4,2,2715.8,147.5,105.0,326.9,672.4,18543.1
no_db,160,40,4,2,2133.7,145.0,104.3,320.7,643.1,9516.1
db_on,32,8,4,3,135.7,45.5,35.9,93.0,176.3,55807.7
no_db,32,8,4,3,118.3,47.2,37.3,98.5,183.4,5319.9
db_on,160,40,4,3,1055.6,148.9,106.3,329.8,671.3,35151.4
no_db,160,40,4,3,1577.0,142.0,102.9,312.0,627.5,8144.7
