scale,conns,variant,run,secs,applied_per_s,mean_us,p50_us,p90_us,p99_us,max_us,rematches
minimal,2,plain,1,10,7.8,79.9,73.2,109.0,205.0,1355.8,1
minimal,2,tls,1,10,1958.5,78.9,66.9,113.0,226.0,11266.7,332
minimal,2,plain,2,10,19.1,95.8,80.4,150.4,252.8,8045.9,
minimal,2,tls,2,10,1934.3,79.5,69.5,117.7,223.3,2458.6,
minimal,2,plain,3,10,9.9,88.5,78.0,129.6,236.5,1767.1,
minimal,2,tls,3,10,1933.8,86.4,67.3,109.8,211.1,29579.1,
idle-light,8,plain,1,10,62.8,39.9,30.5,77.4,150.0,49417.7,
idle-light,8,tls,1,10,7174.8,70.7,52.6,104.1,375.1,38781.8,
idle-light,8,plain,2,10,63.4,39.7,31.9,81.7,165.2,3409.9,
idle-light,8,tls,2,10,6544.5,72.7,53.4,106.2,406.5,57740.3,
idle-light,40,plain,1,10,262.8,47.7,34.2,98.6,195.7,39361.0,
idle-light,40,tls,1,10,13997.6,143.1,74.9,317.5,954.1,34809.0,
idle-light,40,plain,2,10,270.6,45.5,30.9,92.9,194.4,55942.3,
idle-light,40,tls,2,10,15126.4,127.0,68.0,292.4,886.1,5357.8,
idle-heavy,32,plain,1,12,126.3,44.8,34.0,91.5,175.9,30446.8,15
idle-heavy,32,tls,1,12,16206.0,60.9,31.7,125.7,572.6,4544.4,3908
idle-heavy,160,plain,1,12,3256.0,129.9,91.5,284.3,587.6,40229.6,
idle-heavy,160,tls,1,12,6041.9,186.8,112.8,433.5,1125.8,25841.8,
